"BehaviorSpace results (NetLogo 6.1.1)"
"Modelo.nlogo"
"experiment"
"07/03/2020 00:45:24:840 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","fakenews-rate","public-groups?","num-users","graphics?","debug?","perc-public-groups","[step]","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users"
"5","10","true","1000","false","false","8","23","327894","327105","99","38635","73","947","29","24","0.789"
"3","10","true","1000","false","false","8","23","332886","332108","74","28741","71","958","22","20","0.778"
"7","10","true","1000","false","false","8","22","306664","305906","77","28826","95","940","22","38","0.758"
"1","10","true","1000","false","false","8","24","352049","351245","67","33384","70","956","21","23","0.804"
"4","10","true","1000","false","false","8","23","334605","333784","79","26948","77","960","19","21","0.821"
"6","10","true","1000","false","false","8","24","347441","346569","91","31057","71","955","23","22","0.872"
"8","10","true","1000","false","false","8","24","339315","338470","82","35101","79","946","26","28","0.845"
"3","10","true","1000","false","false","8","24","349900","349088","76","30572","71","958","22","20","0.812"
"5","10","true","1000","false","false","8","24","345015","344186","102","41402","73","947","29","24","0.829"
"2","10","true","1000","false","false","8","25","356617","355744","92","39129","75","952","24","24","0.873"
"7","10","true","1000","false","false","8","23","324847","324059","81","30397","95","940","22","38","0.788"
"1","10","true","1000","false","false","8","25","370547","369711","70","34985","70","956","21","23","0.836"
"4","10","true","1000","false","false","8","24","352677","351825","81","28440","77","960","19","21","0.852"
"6","10","true","1000","false","false","8","25","366873","365967","97","32886","71","955","23","22","0.906"
"8","10","true","1000","false","false","8","25","358309","357426","83","37090","79","946","26","28","0.883"
"3","10","true","1000","false","false","8","25","367179","366326","80","33026","71","958","22","20","0.853"
"5","10","true","1000","false","false","8","25","361614","360754","106","44276","73","947","29","24","0.86"
"2","10","true","1000","false","false","8","26","378008","377099","97","42057","75","952","24","24","0.909"
"1","10","true","1000","false","false","8","26","388767","387902","71","36705","70","956","21","23","0.865"
"7","10","true","1000","false","false","8","24","342339","341518","85","32277","95","940","22","38","0.821"
"4","10","true","1000","false","false","8","25","369998","369113","85","30444","77","960","19","21","0.885"
"6","10","true","1000","false","false","8","26","387292","386341","101","34804","71","955","23","22","0.951"
"8","10","true","1000","false","false","8","26","377979","377052","88","39103","79","946","26","28","0.927"
"3","10","true","1000","false","false","8","26","385241","384357","84","35687","71","958","22","20","0.884"
"5","10","true","1000","false","false","8","26","379579","378685","109","47280","73","947","29","24","0.894"
"1","10","true","1000","false","false","8","27","405931","405030","74","38526","70","956","21","23","0.901"
"2","10","true","1000","false","false","8","27","400255","399316","100","44863","75","952","24","24","0.939"
"7","10","true","1000","false","false","8","25","360078","359229","88","34177","95","940","22","38","0.849"
"4","10","true","1000","false","false","8","26","387540","386614","90","32785","77","960","19","21","0.926"
"6","10","true","1000","false","false","8","27","407514","406529","102","36868","71","955","23","22","0.985"
"8","10","true","1000","false","false","8","27","396802","395849","90","41078","79","946","26","28","0.953"
"3","10","true","1000","false","false","8","27","403832","402908","90","38138","71","958","22","20","0.924"
"5","10","true","1000","false","false","8","27","397582","396654","114","50386","73","947","29","24","0.928"
"1","10","true","1000","false","false","8","28","422545","421610","75","40244","70","956","21","23","0.935"
"4","10","true","1000","false","false","8","27","405387","404425","94","35070","77","960","19","21","0.962"
"7","10","true","1000","false","false","8","26","378185","377296","90","36050","95","940","22","38","0.889"
"2","10","true","1000","false","false","8","28","422407","421435","103","47665","75","952","24","24","0.972"
"6","10","true","1000","false","false","8","28","427968","426959","104","39326","71","955","23","22","1.009"
"8","10","true","1000","false","false","8","28","415328","414349","92","43021","79","946","26","28","0.979"
"3","10","true","1000","false","false","8","28","422481","421524","97","40157","71","958","22","20","0.957"
"5","10","true","1000","false","false","8","28","415383","414418","118","53462","73","947","29","24","0.965"
"1","10","true","1000","false","false","8","29","438999","438039","77","41681","70","956","21","23","0.96"
"4","10","true","1000","false","false","8","28","423628","422631","97","37328","77","960","19","21","0.997"
"7","10","true","1000","false","false","8","27","396422","395498","95","37792","95","940","22","38","0.924"
"2","10","true","1000","false","false","8","29","442827","441827","106","50181","75","952","24","24","1"
"6","10","true","1000","false","false","8","29","448718","447681","105","42059","71","955","23","22","1.037"
"8","10","true","1000","false","false","8","29","433663","432644","96","44997","79","946","26","28","1.019"
"1","10","true","1000","false","false","8","30","455971","454966","79","42730","70","956","21","23","1.005"
"3","10","true","1000","false","false","8","29","442194","441203","99","42100","71","958","22","20","0.991"
"9","10","true","1000","false","false","8","0","0","0","0","0","95","933","33","34","0"
"9","10","true","1000","false","false","8","1","36","0","4","0","95","933","33","34","0.036"
"9","10","true","1000","false","false","8","2","557","479","6","70","95","933","33","34","0.078"
"9","10","true","1000","false","false","8","3","2531","2424","9","347","95","933","33","34","0.107"
"5","10","true","1000","false","false","8","29","432985","431985","123","56238","73","947","29","24","1"
"9","10","true","1000","false","false","8","4","7516","7368","15","875","95","933","33","34","0.148"
"9","10","true","1000","false","false","8","5","16463","16276","19","1703","95","933","33","34","0.187"
"9","10","true","1000","false","false","8","6","28576","28358","20","2941","95","933","33","34","0.218"
"9","10","true","1000","false","false","8","7","43253","43003","24","4449","95","933","33","34","0.25"
"9","10","true","1000","false","false","8","8","60286","59995","29","6409","95","933","33","34","0.291"
"4","10","true","1000","false","false","8","29","442673","441641","100","39732","77","960","19","21","1.032"
"9","10","true","1000","false","false","8","9","77682","77358","35","8435","95","933","33","34","0.324"
"7","10","true","1000","false","false","8","28","414706","413748","96","39503","95","940","22","38","0.958"
"2","10","true","1000","false","false","8","30","462019","460986","108","52123","75","952","24","24","1.033"
"10","10","true","1000","false","false","8","0","0","0","0","0","76","958","19","23","0"
"10","10","true","1000","false","false","8","1","42","0","2","0","76","958","19","23","0.042"
"10","10","true","1000","false","false","8","2","380","305","5","8","76","958","19","23","0.075"
"10","10","true","1000","false","false","8","3","2126","2013","7","42","76","958","19","23","0.113"
"10","10","true","1000","false","false","8","4","6676","6525","12","188","76","958","19","23","0.151"
"9","10","true","1000","false","false","8","10","95418","95057","41","10397","95","933","33","34","0.361"
"10","10","true","1000","false","false","8","5","15870","15685","15","743","76","958","19","23","0.185"
"10","10","true","1000","false","false","8","6","28812","28583","20","1741","76","958","19","23","0.229"
"6","10","true","1000","false","false","8","30","468960","467881","109","44439","71","955","23","22","1.079"
"11","10","true","1000","false","false","22","0","0","0","0","0","227","861","58","81","0"
"11","10","true","1000","false","false","22","1","31","0","5","0","227","861","58","81","0.031"
"8","10","true","1000","false","false","8","30","452756","451707","98","47156","79","946","26","28","1.049"
"11","10","true","1000","false","false","22","2","1882","1821","7","640","227","861","58","81","0.061"
"10","10","true","1000","false","false","8","7","44384","44111","30","3328","76","958","19","23","0.273"
"12","10","true","1000","false","false","22","0","0","0","0","0","238","855","67","78","0"
"12","10","true","1000","false","false","22","1","36","0","4","0","238","855","67","78","0.036"
"12","10","true","1000","false","false","22","2","1884","1817","9","348","238","855","67","78","0.067"
"11","10","true","1000","false","false","22","3","7870","7774","13","1646","227","861","58","81","0.096"
"5","10","true","1000","false","false","8","30","450874","449834","124","58911","73","947","29","24","1.04"
"3","10","true","1000","false","false","8","30","461530","460503","100","44335","71","958","22","20","1.027"
"13","10","true","1000","false","false","22","0","0","0","0","0","207","868","61","71","0"
"13","10","true","1000","false","false","22","1","21","0","2","0","207","868","61","71","0.021"
"13","10","true","1000","false","false","22","2","808","751","6","62","207","868","61","71","0.057"
"12","10","true","1000","false","false","22","3","8823","8714","11","1545","238","855","67","78","0.109"
"14","10","true","1000","false","false","22","0","0","0","0","0","251","850","66","84","0"
"14","10","true","1000","false","false","22","1","42","0","6","0","251","850","66","84","0.042"
"13","10","true","1000","false","false","22","3","4959","4875","10","537","207","868","61","71","0.084"
"14","10","true","1000","false","false","22","2","2543","2476","9","72","251","850","66","84","0.067"
"10","10","true","1000","false","false","8","8","61474","61179","33","5195","76","958","19","23","0.295"
"11","10","true","1000","false","false","22","4","17528","17391","17","2859","227","861","58","81","0.137"
"9","10","true","1000","false","false","8","11","113417","113035","43","12230","95","933","33","34","0.382"
"14","10","true","1000","false","false","22","3","10209","10112","12","836","251","850","66","84","0.097"
"13","10","true","1000","false","false","22","4","13723","13608","14","1673","207","868","61","71","0.115"
"12","10","true","1000","false","false","22","4","19631","19493","16","2879","238","855","67","78","0.138"
"10","10","true","1000","false","false","8","9","79870","79546","33","7453","76","958","19","23","0.324"
"13","10","true","1000","false","false","22","5","25678","25526","17","3049","207","868","61","71","0.152"
"14","10","true","1000","false","false","22","4","20847","20720","18","2245","251","850","66","84","0.127"
"11","10","true","1000","false","false","22","5","30625","30451","19","4893","227","861","58","81","0.174"
"12","10","true","1000","false","false","22","5","34478","34299","20","4388","238","855","67","78","0.179"
"9","10","true","1000","false","false","8","12","131985","131574","46","13941","95","933","33","34","0.411"
"10","10","true","1000","false","false","8","10","98624","98262","35","10108","76","958","19","23","0.362"
"4","10","true","1000","false","false","8","30","461695","460627","104","42279","77","960","19","21","1.068"
"13","10","true","1000","false","false","22","6","40310","40127","21","4660","207","868","61","71","0.183"
"14","10","true","1000","false","false","22","5","33288","33125","21","4294","251","850","66","84","0.163"
"15","10","true","1000","false","false","22","0","0","0","0","0","239","847","78","75","0"
"15","10","true","1000","false","false","22","1","29","0","3","0","239","847","78","75","0.029"
"15","10","true","1000","false","false","22","2","1564","1499","7","76","239","847","78","75","0.065"
"15","10","true","1000","false","false","22","3","7307","7207","10","473","239","847","78","75","0.1"
